table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja-Hrkt,まどんなすたじあむ,,,マドンナスタジアム
stops,stop_name,ja,リーガホテル前,,,リーガホテル前
stops,stop_name,en,Rihga Hotel,,,リーガホテル前
stops,stop_name,ja-Hrkt,りーがほてるまえ,,,リーガホテル前
stops,stop_name,ja,ロープウエイ前,,,ロープウエイ前
stops,stop_name,en,Ropeway,,,ロープウエイ前
stops,stop_name,ja-Hrkt,ろーぷうえいまえ,,,ロープウエイ前
stops,stop_name,ja,一の門,,,一の門
stops,stop_name,en,Ichinomon,,,一の門
stops,stop_name,ja-Hrkt,いちのもん,,,一の門
stops,stop_name,ja,一丁地,,,一丁地
stops,stop_name,en,Icchoji,,,一丁地
stops,stop_name,ja-Hrkt,いっちょうじ,,,一丁地
stops,stop_name,ja,一宮バスターミナル,,,一宮バスターミナル
stops,stop_name,en,Kochi ikku Eigyosho,,,一宮バスターミナル
stops,stop_name,ja-Hrkt,いっくばすたーみなる,,,一宮バスターミナル
stops,stop_name,ja,一番町,,,一番町
stops,stop_name,en,Ichibancho,,,一番町
stops,stop_name,ja-Hrkt,いちばんちょう,,,一番町
stops,stop_name,ja,一番町一,,,一番町一
stops,stop_name,en,Ichibancho 1,,,一番町一
stops,stop_name,ja-Hrkt,いちばんちょういっちょうめ,,,一番町一
stops,stop_name,ja,一番町二,,,一番町二
stops,stop_name,en,Ichibancho 2,,,一番町二
stops,stop_name,ja-Hrkt,いちばんちょうにちょうめ,,,一番町二
stops,stop_name,ja,一里木,,,一里木
stops,stop_name,en,Ichirigi,,,一里木
stops,stop_name,ja-Hrkt,いちりぎ,,,一里木
stops,stop_name,ja,三光前,,,三光前
stops,stop_name,en,Sanko,,,三光前
stops,stop_name,ja-Hrkt,さんこうまえ,,,三光前
stops,stop_name,ja,三好ＢＳ,,,三好ＢＳ
stops,stop_name,en,Miyoshi Bus Stop(Yoshinogawa SA),,,三好ＢＳ
stops,stop_name,ja-Hrkt,みよしＢＳ,,,三好ＢＳ
stops,stop_name,ja,三島川之江インター,,,三島川之江インター
stops,stop_name,en,Misima Kawanoe IC,,,三島川之江インター
stops,stop_name,ja-Hrkt,みしまかわのえいんたー,,,三島川之江インター
stops,stop_name,ja,三島神社前（今出）,,,三島神社前（今出）
stops,stop_name,en,Mishima Jinja (Imazu),,,三島神社前（今出）
stops,stop_name,ja-Hrkt,みしまじんじゃまえ,,,三島神社前（今出）
stops,stop_name,ja,三本柳済生会病院前,,,三本柳済生会病院前
stops,stop_name,en,Sanbonyanagi Saiseikai Byoin,,,三本柳済生会病院前
stops,stop_name,ja-Hrkt,さんぼんやなぎさいせいかいびょういんまえ,,,三本柳済生会病院前
stops,stop_name,ja,三段地川橋,,,三段地川橋
stops,stop_name,en,Sandanchigawabashi,,,三段地川橋
stops,stop_name,ja-Hrkt,さんだんじがわばし,,,三段地川橋
stops,stop_name,ja,三津一丁目,,,三津一丁目
stops,stop_name,en,Mitsu 1,,,三津一丁目
stops,stop_name,ja-Hrkt,みついっちょうめ,,,三津一丁目
stops,stop_name,ja,三津二丁目,,,三津二丁目
stops,stop_name,en,Mitsu2,,,三津二丁目
stops,stop_name,ja-Hrkt,みつにちょうめ,,,三津二丁目
stops,stop_name,ja,三津厳島神社前,,,三津厳島神社前
stops,stop_name,en,Mitsu-Itsukushima Jinja,,,三津厳島神社前
stops,stop_name,ja-Hrkt,みついつくしまじんじゃまえ,,,三津厳島神社前
stops,stop_name,ja,三津東,,,三津東
stops,stop_name,en,Mitsu-Higashi,,,三津東
stops,stop_name,ja-Hrkt,みつひがし,,,三津東
stops,stop_name,ja,三津港,,,三津港
stops,stop_name,en,Mitsu Port,,,三津港
stops,stop_name,ja-Hrkt,みつこう,,,三津港
stops,stop_name,ja,三津駅前,,,三津駅前
stops,stop_name,en,Mitsu Sta.,,,三津駅前
stops,stop_name,ja-Hrkt,みつえきまえ,,,三津駅前
stops,stop_name,ja,三町,,,三町
stops,stop_name,en,Sancho,,,三町
stops,stop_name,ja-Hrkt,さんちょう,,,三町
stops,stop_name,ja,三番町二,,,三番町二
stops,stop_name,en,Sanbancho 2,,,三番町二
stops,stop_name,ja-Hrkt,さんばんちょうにちょうめ,,,三番町二
stops,stop_name,ja,三軒屋上,,,三軒屋上
stops,stop_name,en,Sangenya-Kami,,,三軒屋上
stops,stop_name,ja-Hrkt,さんげんやかみ,,,三軒屋上
stops,stop_name,ja,三軒屋下,,,三軒屋下
stops,stop_name,en,Sangenya-Shimo,,,三軒屋下
stops,stop_name,ja-Hrkt,さんげんやしも,,,三軒屋下
stops,stop_name,ja,三軒屋橋,,,三軒屋橋
stops,stop_name,en,Sangenyabashi,,,三軒屋橋
stops,stop_name,ja-Hrkt,さんげんやばし,,,三軒屋橋
stops,stop_name,ja,上一万駅前,,,上一万駅前
stops,stop_name,en,Kamiichiman Sta.,,,上一万駅前
stops,stop_name,ja-Hrkt,かみいちまんえきまえ,,,上一万駅前
stops,stop_name,ja,上仲屋,,,上仲屋
stops,stop_name,en,Kaminakaya,,,上仲屋
stops,stop_name,ja-Hrkt,かみなかや,,,上仲屋
stops,stop_name,ja,上新畑,,,上新畑
stops,stop_name,en,Kamishinbata,,,上新畑
stops,stop_name,ja-Hrkt,かみしんばた,,,上新畑
stops,stop_name,ja,上村,,,上村
stops,stop_name,en,Uemura,,,上村
stops,stop_name,ja-Hrkt,うえむら,,,上村
stops,stop_name,ja,上林皿ヶ嶺登山口,,,上林皿ヶ嶺登山口
stops,stop_name,en,Kambayashi Saragamine Tozanguchi,,,上林皿ヶ嶺登山口
stops,stop_name,ja-Hrkt,かんばやしさらがみねとざんぐち,,,上林皿ヶ嶺登山口
stops,stop_name,ja,上石手,,,上石手
stops,stop_name,en,Kamiishite,,,上石手
stops,stop_name,ja-Hrkt,かみいして,,,上石手
stops,stop_name,ja,上高柳集会所前,,,上高柳集会所前
stops,stop_name,en,Kamitakayanagi Shukaijo,,,上高柳集会所前
stops,stop_name,ja-Hrkt,かみたかやなぎしゅうかいしょまえ,,,上高柳集会所前
stops,stop_name,ja,上高野,,,上高野
stops,stop_name,en,Kamitakano,,,上高野
stops,stop_name,ja-Hrkt,かみたかの,,,上高野
stops,stop_name,ja,下仲屋,,,下仲屋
stops,stop_name,en,Shimonakaya,,,下仲屋
stops,stop_name,ja-Hrkt,しもなかや,,,下仲屋
stops,stop_name,ja,下八幡,,,下八幡
stops,stop_name,en,Shimo-Hachiman,,,下八幡
stops,stop_name,ja-Hrkt,しもはちまん,,,下八幡
stops,stop_name,ja,下原町,,,下原町
stops,stop_name,en,Shimoharamachi,,,下原町
stops,stop_name,ja-Hrkt,しもはらまち,,,下原町
stops,stop_name,ja,下石手,,,下石手
stops,stop_name,en,Shimoishite,,,下石手
stops,stop_name,ja-Hrkt,しもいして,,,下石手
stops,stop_name,ja,下音田,,,下音田
stops,stop_name,en,Shimonda,,,下音田
stops,stop_name,ja-Hrkt,しもおんだ,,,下音田
stops,stop_name,ja,中問屋,,,中問屋
stops,stop_name,en,Nakatonya,,,中問屋
stops,stop_name,ja-Hrkt,なかとんや,,,中問屋
stops,stop_name,ja,中坪,,,中坪
stops,stop_name,en,Nakatsubo,,,中坪
stops,stop_name,ja-Hrkt,なかつぼ,,,中坪
stops,stop_name,ja,中川原,,,中川原
stops,stop_name,en,Nakagawara,,,中川原
stops,stop_name,ja-Hrkt,なかがわら,,,中川原
stops,stop_name,ja,中川原橋詰,,,中川原橋詰
stops,stop_name,en,Nakagawara-hashizume,,,中川原橋詰
stops,stop_name,ja-Hrkt,なかがわらはしづめ,,,中川原橋詰
stops,stop_name,ja,中川原西,,,中川原西
stops,stop_name,en,Nakagawara-Nishi,,,中川原西
stops,stop_name,ja-Hrkt,なかかわらにし,,,中川原西
stops,stop_name,ja,中川原踏切,,,中川原踏切
stops,stop_name,en,Nakagawara Humikiri,,,中川原踏切
stops,stop_name,ja-Hrkt,あなかがわらふみきり,,,中川原踏切
stops,stop_name,ja,中村酒店前,,,中村酒店前
stops,stop_name,en,Nakamura Saketen,,,中村酒店前
stops,stop_name,ja-Hrkt,なかむらさけてんまえ,,,中村酒店前
stops,stop_name,ja,中津,,,中津
stops,stop_name,en,Nakatsu,,,中津
stops,stop_name,ja-Hrkt,なかつ,,,中津
stops,stop_name,ja,中野,,,中野
stops,stop_name,en,Tachibanaeki,,,中野
stops,stop_name,ja-Hrkt,なかの,,,中野
stops,stop_name,ja,中野口,,,中野口
stops,stop_name,en,Nakanoguchi,,,中野口
stops,stop_name,ja-Hrkt,なかのぐち,,,中野口
stops,stop_name,ja,中野石鎚前,,,中野石鎚前
stops,stop_name,en,Asodamachi-Higashi,,,中野石鎚前
stops,stop_name,ja-Hrkt,なかのつじちまえ,,,中野石鎚前
stops,stop_name,ja,中須賀,,,中須賀
stops,stop_name,en,Nakasuka,,,中須賀
stops,stop_name,ja-Hrkt,なかすか,,,中須賀
stops,stop_name,ja,丸亀,,,丸亀
stops,stop_name,en,Marugame,,,丸亀
stops,stop_name,ja-Hrkt,まるがめ,,,丸亀
stops,stop_name,ja,丸山,,,丸山
stops,stop_name,en,Maruyama,,,丸山
stops,stop_name,ja-Hrkt,まるやま,,,丸山
stops,stop_name,ja,丸山橋,,,丸山橋
stops,stop_name,en,Maruyamabashi,,,丸山橋
stops,stop_name,ja-Hrkt,まるやまばし,,,丸山橋
stops,stop_name,ja,久万の台,,,久万の台
stops,stop_name,en,Kumanodai,,,久万の台
stops,stop_name,ja-Hrkt,くまのだい,,,久万の台
stops,stop_name,ja,久保田,,,久保田
stops,stop_name,en,Kubota,,,久保田
stops,stop_name,ja-Hrkt,くぼた,,,久保田
