service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
O_0001_1,1,1,1,1,1,0,0,20250708,20250726
O_0001_2,0,0,0,0,0,1,0,20250708,20250726
O_0001_3,0,0,0,0,0,0,1,20250708,20250726
O_0002_1,1,1,1,1,1,0,0,20250708,20250726
O_0002_2,0,0,0,0,0,1,0,20250708,20250726
O_0002_3,0,0,0,0,0,0,1,20250708,20250726
O_0003_1,1,1,1,1,1,0,0,20250708,20250726
O_0003_2,0,0,0,0,0,1,0,20250708,20250726
O_0003_3,0,0,0,0,0,0,1,20250708,20250726
O_0010_1,1,1,1,1,1,0,0,20250708,20250726
O_0010_2,0,0,0,0,0,1,0,20250708,20250726
O_0010_3,0,0,0,0,0,0,1,20250708,20250726
O_0500_1,1,1,1,1,1,0,0,20250708,20250726
O_0500_2,0,0,0,0,0,1,0,20250708,20250726
O_0500_3,0,0,0,0,0,0,1,20250708,20250726
